balls,period,t=1,t=2,t=3,t=4,t=5,t=6,t=7,t=8,t=9,t=10,t=11,t=12,t=13,t=14,t=15
b=5,p=11,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,1.4 KB,74.3 KB,837.3 KB,4 MB,11.4 MB,26 MB,46.2 MB,69.6 MB,93.4 MB,115.8 MB
b=5,p=12,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,2.4 KB,194.1 KB,2.7 MB,15.2 MB,48.4 MB,108.3 MB,208.5 MB,332.4 MB,465.6 MB,595.5 MB
b=5,p=13,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,4.5 KB,511.8 KB,9 MB,58.1 MB,204.8 MB,493.6 MB,926.5 MB,1.6 GB,2.3 GB,3 GB
b=5,p=14,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,8.3 KB,1.4 MB,29.8 MB,221.9 MB,866.8 MB,2.2 GB,4.5 GB,7.3 GB,11.3 GB,15.5 GB
b=5,p=15,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,15.4 KB,3.6 MB,98.7 MB,850 MB,3.7 GB,10.2 GB,21.4 GB,36.7 GB,54.8 GB,78.1 GB
b=5,p=16,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,28.6 KB,9.6 MB,328.9 MB,3.3 GB,15.6 GB,46.7 GB,102.9 GB,183.4 GB,282.2 GB,391.1 GB
b=5,p=17,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,53.6 KB,25.9 MB,1.1 GB,12.6 GB,66.4 GB,213.5 GB,495.1 GB,917.8 GB,1.5 TB,2.1 TB
b=5,p=18,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,100.2 KB,69.9 MB,3.7 GB,48.9 GB,283.4 GB,977.2 GB,2.4 TB,4.6 TB,7.5 TB,10.9 TB
b=5,p=19,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,188.8 KB,188.8 MB,12.5 GB,190.1 GB,1.2 TB,4.5 TB,11.5 TB,23.1 TB,38.7 TB,57.4 TB
b=5,p=20,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,355.3 KB,511.9 MB,42.2 GB,741.9 GB,5.2 TB,20.6 TB,55.7 TB,115.9 TB,200.3 TB,303.2 TB
b=6,p=1,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes
b=6,p=2,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,8 bytes,16 bytes,24 bytes,32 bytes,40 bytes,48 bytes,48 bytes,48 bytes,48 bytes
b=6,p=3,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,16 bytes,48 bytes,96 bytes,144 bytes,184 bytes,224 bytes,256 bytes,280 bytes,304 bytes
b=6,p=4,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,24 bytes,120 bytes,304 bytes,544 bytes,800 bytes,1.1 KB,1.3 KB,1.5 KB,1.7 KB
b=6,p=5,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,48 bytes,320 bytes,1 KB,2.2 KB,3.7 KB,5.3 KB,6.9 KB,8.2 KB,9.6 KB
b=6,p=6,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,72 bytes,792 bytes,3.3 KB,8.4 KB,15.6 KB,25.3 KB,35.5 KB,45.2 KB,53.9 KB
b=6,p=7,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,144 bytes,2.1 KB,11.2 KB,33.7 KB,71.6 KB,121.2 KB,176.7 KB,242.1 KB,304.4 KB
b=6,p=8,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,232 bytes,5.2 KB,36.3 KB,132.1 KB,320.6 KB,597.9 KB,936 KB,1.3 MB,1.7 MB
